,agree_percent,member1_id,member2_id,fullname_1,twitter_account_1,party_x,fullname_2,twitter_account_2,party_y,same_gender,same_age,same_state,neighborState,distance,ademic,jaccard
0,95.79,L000560,L000557,Rick Larsen,RepRickLarsen,D,John Larson,RepJohnLarson,D,1,0,0,0,50.126964194464776,6.559611298734808,0.3295454545454545
13,95.13,L000560,L000580,Rick Larsen,RepRickLarsen,D,Michelle Lujan Grisham,RepLujanGrisham,D,0,1,0,0,21.32984704598238,7.288738450729244,0.35869565217391297
23,95.75,L000560,M001188,Rick Larsen,RepRickLarsen,D,Grace Meng,RepGraceMeng,D,0,0,0,0,49.26799976479467,4.3044333071488605,0.2602739726027397
26,88.9,L000560,M001202,Rick Larsen,RepRickLarsen,D,Stephanie Murphy,RepStephMurphy,D,0,0,0,0,45.702193012155476,4.175430232623406,0.22093023255813954
29,95.35,L000560,N000015,Rick Larsen,RepRickLarsen,D,Richard Neal,RepRichardNeal,D,1,0,0,0,50.00747319872226,0.8827177712295305,0.06557377049180327
34,95.47,L000560,O000170,Rick Larsen,RepRickLarsen,D,Beto O'Rourke,RepBetoORourke,D,1,1,0,0,23.133448309549113,0.7027320498042827,0.05172413793103448
35,93.74,L000560,P000034,Rick Larsen,RepRickLarsen,D,Frank Pallone,FrankPallone,D,1,0,0,0,48.879283184971506,9.778517043142813,0.3524590163934426
40,94.85,L000560,P000593,Rick Larsen,RepRickLarsen,D,Ed Perlmutter,RepPerlmutter,D,1,0,0,0,19.428624330442148,5.658161287333085,0.3048780487804878
41,89.25,L000560,P000608,Rick Larsen,RepRickLarsen,D,Scott Peters,RepScottPeters,D,1,1,0,0,16.371513353044797,4.743658194171776,0.28
52,89.71,L000560,R000608,Rick Larsen,RepRickLarsen,D,Jacky Rosen,RepJackyRosen,D,0,1,0,0,14.624726993357744,0.2023618696943225,0.017241379310344827
66,95.31,L000560,S000185,Rick Larsen,RepRickLarsen,D,Robert Scott,BobbyScott,D,1,0,0,0,47.3228994556025,9.718048333424631,0.35537190082644626
67,94.06,L000560,S000248,Rick Larsen,RepRickLarsen,D,José Serrano,RepJoseSerrano,D,1,0,0,0,49.18782912492809,4.887630214930632,0.28205128205128205
72,94.13,L000560,S001165,Rick Larsen,RepRickLarsen,D,Albio Sires,RepSires,D,1,0,0,0,48.985781173824996,2.6420804539218987,0.1791044776119403
83,95.46,L000560,T000474,Rick Larsen,RepRickLarsen,D,Norma Torres,NormaJTorres,D,0,1,0,0,15.127033412378662,3.8724233221351536,0.2647058823529412
87,91.25,L000560,V000132,Rick Larsen,RepRickLarsen,D,Filemon Vela,RepFilemonVela,D,1,1,0,0,32.326874247349245,4.253186318291875,0.2435897435897436
88,93.72,L000560,V000081,Rick Larsen,RepRickLarsen,D,Nydia Velázquez,NydiaVelazquez,D,0,0,0,0,49.1516770499365,7.387976119222231,0.34375
92,94.82,L000560,W000187,Rick Larsen,RepRickLarsen,D,Maxine Waters,MaxineWaters,D,0,0,0,0,15.038752814428713,0.4225900601403846,0.0392156862745098
93,92.25,L000560,W000822,Rick Larsen,RepRickLarsen,D,Bonnie Watson Coleman,RepBonnie,D,0,0,0,0,48.58763378559426,5.028069883857662,0.2323232323232323
126,94.38,L000557,N000127,John Larson,RepJohnLarson,D,Rick Nolan,USRepRickNolan,D,1,1,0,0,21.038509705547714,6.843129651626747,0.31958762886597936
130,93.71,L000557,O000170,John Larson,RepJohnLarson,D,Beto O'Rourke,RepBetoORourke,D,1,0,0,0,34.92897942174604,0.7109259254717611,0.04
136,93.05,L000557,P000593,John Larson,RepJohnLarson,D,Ed Perlmutter,RepPerlmutter,D,1,1,0,0,32.30251667746565,7.860636164744394,0.37777777777777777
147,94.36,L000557,R000588,John Larson,RepJohnLarson,D,Cedric Richmond,RepRichmond,D,1,0,0,0,21.350392573681024,5.0984838392078515,0.26744186046511625
148,90.93,L000557,R000608,John Larson,RepJohnLarson,D,Jacky Rosen,RepJackyRosen,D,0,1,0,0,42.74750802574553,0.2023618696943225,0.013333333333333334
160,86.99,L000557,S001180,John Larson,RepJohnLarson,D,Kurt Schrader,RepSchrader,D,1,1,0,0,50.423337431541604,9.786633566255947,0.4659090909090909
183,89.89,L000557,V000132,John Larson,RepJohnLarson,D,Filemon Vela,RepFilemonVela,D,1,0,0,0,28.60045783440071,4.25614316445734,0.2
188,93.12,L000557,W000187,John Larson,RepJohnLarson,D,Maxine Waters,MaxineWaters,D,0,0,0,0,46.2158536980867,0.42767444080456907,0.029411764705882356
189,93.61,L000557,W000822,John Larson,RepJohnLarson,D,Bonnie Watson Coleman,RepBonnie,D,0,1,0,0,2.2811836934345258,7.334773916707407,0.29906542056074764
198,90.48,L000581,L000563,Brenda Lawrence,RepLawrence,D,Daniel Lipinski,RepLipinski,D,0,0,0,0,4.764803171018589,3.863154490702381,0.2535211267605634
202,96.03,L000581,L000480,Brenda Lawrence,RepLawrence,D,Nita Lowey,NitaLowey,D,1,0,0,0,9.380937096350122,10.688474422526204,0.4247787610619469
204,93.89,L000581,L000580,Brenda Lawrence,RepLawrence,D,Michelle Lujan Grisham,RepLujanGrisham,D,1,1,0,0,24.12142934473893,7.8850386034884306,0.37894736842105264
206,91.76,L000581,M001185,Brenda Lawrence,RepLawrence,D,Sean Maloney,RepSeanMaloney,D,0,0,0,0,9.180356185959154,8.632238341310163,0.39
207,95.28,L000581,M000087,Brenda Lawrence,RepLawrence,D,Carolyn Maloney,RepMaloney,D,1,1,0,0,9.407942096476438,7.390259150751997,0.34
209,96.01,L000581,M001143,Brenda Lawrence,RepLawrence,D,Betty McCollum,BettyMcCollum04,D,1,1,0,0,10.102835398149947,9.101523416069279,0.4880952380952381
210,95.67,L000581,M001200,Brenda Lawrence,RepLawrence,D,A. McEachin,RepMcEachin,D,0,1,0,0,8.177931882707266,8.033466274503144,0.4556962025316456
212,95.53,L000581,M001166,Brenda Lawrence,RepLawrence,D,Jerry McNerney,RepMcNerney,D,0,1,0,0,38.36726975004445,6.558811291931335,0.33707865168539325
214,95.9,L000581,M001188,Brenda Lawrence,RepLawrence,D,Grace Meng,RepGraceMeng,D,1,0,0,0,9.535406096976963,3.27589204029668,0.18072289156626506
215,94.95,L000581,M001160,Brenda Lawrence,RepLawrence,D,Gwen Moore,RepGwenMoore,D,1,1,0,1,4.788550921944259,9.090400121262213,0.4712643678160919
216,95.1,L000581,M001196,Brenda Lawrence,RepLawrence,D,Seth Moulton,teammoulton,D,0,0,0,0,12.226136285193414,4.853496694970052,0.30985915492957744
217,87.33,L000581,M001202,Brenda Lawrence,RepLawrence,D,Stephanie Murphy,RepStephMurphy,D,1,0,0,0,13.926954902097965,6.972346578811593,0.3875
220,95.39,L000581,N000015,Brenda Lawrence,RepLawrence,D,Richard Neal,RepRichardNeal,D,0,1,0,0,10.34315558635548,1.1231669447110246,0.07575757575757576
221,93.72,L000581,N000127,Brenda Lawrence,RepLawrence,D,Rick Nolan,USRepRickNolan,D,0,0,0,0,11.005278517271092,7.2039103775150215,0.3928571428571429
225,93.66,L000581,O000170,Brenda Lawrence,RepLawrence,D,Beto O'Rourke,RepBetoORourke,D,0,0,0,0,25.408551924885806,0.6845655852777967,0.046875
228,95.59,L000581,P000096,Brenda Lawrence,RepLawrence,D,Bill Pascrell,BillPascrell,D,0,0,0,0,9.267284339492477,1.567114146682178,0.11475409836065575
231,93.95,L000581,P000593,Brenda Lawrence,RepLawrence,D,Ed Perlmutter,RepPerlmutter,D,0,1,0,0,22.0039643385778,7.310371462743063,0.4125
232,87.97,L000581,P000608,Brenda Lawrence,RepLawrence,D,Scott Peters,RepScottPeters,D,0,1,0,0,35.25053764274387,4.397970651776432,0.24390243902439024
238,95.55,L000581,P000523,Brenda Lawrence,RepLawrence,D,David Price,RepDavidEPrice,D,0,0,0,0,7.797347194351986,5.218750866820392,0.2823529411764706
243,90.16,L000581,R000608,Brenda Lawrence,RepLawrence,D,Jacky Rosen,RepJackyRosen,D,1,1,0,0,32.62024869299274,0.6647551724557788,0.04838709677419355
246,93.68,L000581,R000576,Brenda Lawrence,RepLawrence,D,C.A. Dutch Ruppersberger,Call_Me_Dutch,D,0,1,0,0,7.409759636902449,7.038692999558225,0.3636363636363637
248,95.01,L000581,R000577,Brenda Lawrence,RepLawrence,D,Tim Ryan,RepTimRyan,D,0,0,0,1,2.5904492876884766,8.133057257213919,0.4111111111111111
253,95.57,L000581,S001150,Brenda Lawrence,RepLawrence,D,Adam Schiff,RepAdamSchiff,D,0,1,0,0,36.04386899238357,6.094098827428415,0.2857142857142857
255,87.21,L000581,S001180,Brenda Lawrence,RepLawrence,D,Kurt Schrader,RepSchrader,D,0,1,0,0,40.00427601435758,6.980331880708546,0.372093023255814
258,94.34,L000581,S000248,Brenda Lawrence,RepLawrence,D,José Serrano,RepJoseSerrano,D,0,0,0,0,9.453290699287177,5.432920562400991,0.308641975308642
261,94.21,L000581,S000344,Brenda Lawrence,RepLawrence,D,Brad Sherman,BradSherman,D,0,1,0,0,36.3020045433875,8.936751247481242,0.42105263157894735
263,94.89,L000581,S001165,Brenda Lawrence,RepLawrence,D,Albio Sires,RepSires,D,0,1,0,0,9.255012393336287,2.8325144277444636,0.18055555555555555
269,95.04,L000581,T000472,Brenda Lawrence,RepLawrence,D,Mark Takano,RepMarkTakano,D,0,1,0,0,35.166636587587355,3.2217415317778335,0.22058823529411764
270,95.45,L000581,T000193,Brenda Lawrence,RepLawrence,D,Bennie Thompson,BennieGThompson,D,0,1,0,0,11.710455192994852,7.571057692749361,0.4788732394366197
278,90.63,L000581,V000132,Brenda Lawrence,RepLawrence,D,Filemon Vela,RepFilemonVela,D,0,1,0,0,20.698863815306414,5.5196728684388905,0.3205128205128205
279,94.25,L000581,V000081,Brenda Lawrence,RepLawrence,D,Nydia Velázquez,NydiaVelazquez,D,1,1,0,0,9.421195974077383,8.136764177560057,0.3775510204081632
283,95.3,L000581,W000187,Brenda Lawrence,RepLawrence,D,Maxine Waters,MaxineWaters,D,1,0,0,0,36.16738058344095,0.6448216817561949,0.05357142857142857
