,agree_percent,member1_id,member2_id,fullname_1,twitter_account_1,fullname_2,twitter_account_2,same_gender,same_age,same_state,neighborState,ademic,jaccard
1,96.37,L000560,L000581,Rick Larsen,RepRickLarsen,Brenda Lawrence,RepLawrence,0,0,0,0,5.651718007560808,0.26262626262626265
6,93.8,L000560,L000582,Rick Larsen,RepRickLarsen,Ted Lieu,RepTedLieu,1,1,0,0,8.121423672720653,0.25874125874125875
7,92.74,L000560,L000563,Rick Larsen,RepRickLarsen,Daniel Lipinski,RepLipinski,1,1,0,0,3.7116699381686877,0.19540229885057472
9,94.11,L000560,L000397,Rick Larsen,RepRickLarsen,Zoe Lofgren,RepZoeLofgren,0,0,0,0,2.589894718541172,0.17647058823529413
14,93.0,L000560,L000562,Rick Larsen,RepRickLarsen,Stephen Lynch,RepStephenLynch,1,0,0,0,5.917987612045678,0.2727272727272727
18,95.96,L000560,M001143,Rick Larsen,RepRickLarsen,Betty McCollum,BettyMcCollum04,0,0,0,0,7.185476241904563,0.35869565217391297
20,93.26,L000560,M000312,Rick Larsen,RepRickLarsen,Jim McGovern,RepMcGovern,1,1,0,0,2.9648398946442187,0.175
23,95.75,L000560,M001188,Rick Larsen,RepRickLarsen,Grace Meng,RepGraceMeng,0,0,0,0,4.249026920966979,0.2405063291139241
25,96.44,L000560,M001196,Rick Larsen,RepRickLarsen,Seth Moulton,teammoulton,1,0,0,0,3.6533412325717496,0.21518987341772156
26,88.9,L000560,M001202,Rick Larsen,RepRickLarsen,Stephanie Murphy,RepStephMurphy,0,0,0,0,4.103475702173009,0.2043010752688172
29,95.35,L000560,N000015,Rick Larsen,RepRickLarsen,Richard Neal,RepRichardNeal,1,0,0,0,0.8716762041572418,0.060606060606060615
31,93.77,L000560,N000188,Rick Larsen,RepRickLarsen,Donald Norcross,DonaldNorcross,1,1,0,0,5.595426093166732,0.27956989247311825
34,95.47,L000560,O000170,Rick Larsen,RepRickLarsen,Beto O'Rourke,RepBetoORourke,1,1,0,0,0.6777221834838629,0.047619047619047616
36,94.54,L000560,P000613,Rick Larsen,RepRickLarsen,Jimmy Panetta,RepJimmyPanetta,1,1,0,0,4.087916941764116,0.2261904761904762
38,94.38,L000560,P000604,Rick Larsen,RepRickLarsen,Donald Payne,RepDonaldPayne,1,1,0,0,6.280993977802045,0.2857142857142857
41,89.25,L000560,P000608,Rick Larsen,RepRickLarsen,Scott Peters,RepScottPeters,1,1,0,0,4.652775750499316,0.25
52,89.71,L000560,R000608,Rick Larsen,RepRickLarsen,Jacky Rosen,RepJackyRosen,0,1,0,0,0.2020708262577644,0.015873015873015872
53,95.42,L000560,R000486,Rick Larsen,RepRickLarsen,Lucille Roybal-Allard,RepRoybalAllard,0,0,0,0,9.433448815273836,0.35897435897435903
56,92.81,L000560,R000515,Rick Larsen,RepRickLarsen,Bobby Rush,RepBobbyRush,1,0,0,0,1.9374300387113852,0.1323529411764706
60,95.07,L000560,S001168,Rick Larsen,RepRickLarsen,John Sarbanes,RepSarbanes,1,1,0,0,1.3589139973082394,0.10526315789473684
66,95.31,L000560,S000185,Rick Larsen,RepRickLarsen,Robert Scott,BobbyScott,1,0,0,0,9.5448367498499,0.3028169014084507
74,94.16,L000560,S001200,Rick Larsen,RepRickLarsen,Darren Soto,RepDarrenSoto,1,0,0,0,3.8384762657450002,0.17475728155339804
76,89.19,L000560,S001201,Rick Larsen,RepRickLarsen,Thomas Suozzi,RepTomSuozzi,1,1,0,0,0.4275613430831903,0.028985507246376805
78,95.22,L000560,T000472,Rick Larsen,RepRickLarsen,Mark Takano,RepMarkTakano,1,1,0,0,2.786548817844507,0.18840579710144928
79,94.49,L000560,T000193,Rick Larsen,RepRickLarsen,Bennie Thompson,BennieGThompson,1,0,0,0,4.350905127002451,0.2352941176470588
80,94.5,L000560,T000460,Rick Larsen,RepRickLarsen,Mike Thompson,RepThompson,1,0,0,0,1.279707027658462,0.10344827586206896
83,95.46,L000560,T000474,Rick Larsen,RepRickLarsen,Norma Torres,NormaJTorres,0,1,0,0,3.8235867493561484,0.2465753424657534
85,94.27,L000560,V000130,Rick Larsen,RepRickLarsen,Juan Vargas,RepJuanVargas,1,1,0,0,2.174876150298349,0.14084507042253522
87,91.25,L000560,V000132,Rick Larsen,RepRickLarsen,Filemon Vela,RepFilemonVela,1,1,0,0,4.184826221344953,0.2159090909090909
93,92.25,L000560,W000822,Rick Larsen,RepRickLarsen,Bonnie Watson Coleman,RepBonnie,0,0,0,0,4.9519953149342975,0.2169811320754717
96,96.12,L000560,Y000062,Rick Larsen,RepRickLarsen,John Yarmuth,RepJohnYarmuth,1,0,0,0,3.961890857772164,0.2432432432432433
97,95.11,L000557,L000581,John Larson,RepJohnLarson,Brenda Lawrence,RepLawrence,0,1,0,0,5.147909865119173,0.21052631578947367
102,94.52,L000557,L000582,John Larson,RepJohnLarson,Ted Lieu,RepTedLieu,1,0,0,0,9.304385061550672,0.2781456953642384
103,90.42,L000557,L000563,John Larson,RepJohnLarson,Daniel Lipinski,RepLipinski,1,0,0,0,3.693633918024757,0.17
105,95.46,L000557,L000397,John Larson,RepJohnLarson,Zoe Lofgren,RepZoeLofgren,0,1,0,0,3.1375008062716603,0.17721518987341772
106,94.36,L000557,L000579,John Larson,RepJohnLarson,Alan Lowenthal,RepLowenthal,1,1,0,0,10.878982231183775,0.3202614379084967
109,93.59,L000557,L000580,John Larson,RepJohnLarson,Michelle Lujan Grisham,RepLujanGrisham,0,0,0,0,8.403662599475894,0.3584905660377358
110,95.11,L000557,L000562,John Larson,RepJohnLarson,Stephen Lynch,RepStephenLynch,1,1,0,1,7.341909790066091,0.29906542056074764
114,94.95,L000557,M001143,John Larson,RepJohnLarson,Betty McCollum,BettyMcCollum04,0,1,0,0,6.5314113307284645,0.2777777777777778
119,94.44,L000557,M001188,John Larson,RepJohnLarson,Grace Meng,RepGraceMeng,0,0,0,1,5.3794406147438805,0.27586206896551724
121,94.01,L000557,M001196,John Larson,RepJohnLarson,Seth Moulton,teammoulton,1,0,0,1,3.936628330578958,0.1978021978021978
122,88.37,L000557,M001202,John Larson,RepJohnLarson,Stephanie Murphy,RepStephMurphy,0,0,0,0,4.343885293551382,0.19047619047619047
126,94.38,L000557,N000127,John Larson,RepJohnLarson,Rick Nolan,USRepRickNolan,1,1,0,0,6.7353451323126095,0.2818181818181818
127,94.46,L000557,N000188,John Larson,RepJohnLarson,Donald Norcross,DonaldNorcross,1,0,0,0,6.062600030500471,0.2571428571428571
130,93.71,L000557,O000170,John Larson,RepJohnLarson,Beto O'Rourke,RepBetoORourke,1,0,0,0,0.6999587345466911,0.03947368421052632
131,94.88,L000557,P000034,John Larson,RepJohnLarson,Frank Pallone,FrankPallone,1,1,0,0,12.691021293086786,0.4198473282442748
132,94.53,L000557,P000613,John Larson,RepJohnLarson,Jimmy Panetta,RepJimmyPanetta,1,0,0,0,4.042519896776671,0.1958762886597938
134,94.76,L000557,P000604,John Larson,RepJohnLarson,Donald Payne,RepDonaldPayne,1,0,0,0,7.414049825018588,0.3113207547169811
136,93.05,L000557,P000593,John Larson,RepJohnLarson,Ed Perlmutter,RepPerlmutter,1,1,0,0,7.717819841408567,0.3434343434343434
146,93.82,L000557,R000602,John Larson,RepJohnLarson,Kathleen Rice,RepKathleenRice,0,0,0,1,6.028607786398339,0.20895522388059698
147,94.36,L000557,R000588,John Larson,RepJohnLarson,Cedric Richmond,RepRichmond,1,0,0,0,5.026878650562106,0.25555555555555554
148,90.93,L000557,R000608,John Larson,RepJohnLarson,Jacky Rosen,RepJackyRosen,0,1,0,0,0.2020708262577644,0.013157894736842105
149,95.55,L000557,R000486,John Larson,RepJohnLarson,Lucille Roybal-Allard,RepRoybalAllard,0,1,0,0,11.137080306009254,0.3983739837398374
151,93.14,L000557,R000576,John Larson,RepJohnLarson,C.A. Dutch Ruppersberger,Call_Me_Dutch,1,1,0,0,6.901336264126773,0.2627118644067797
152,93.87,L000557,R000515,John Larson,RepJohnLarson,Bobby Rush,RepBobbyRush,1,1,0,0,3.0318957715863246,0.18421052631578946
156,95.55,L000557,S001168,John Larson,RepJohnLarson,John Sarbanes,RepSarbanes,1,0,0,0,0.8206867233717241,0.05555555555555555
160,86.99,L000557,S001180,John Larson,RepJohnLarson,Kurt Schrader,RepSchrader,1,1,0,0,9.619707007018226,0.4408602150537633
167,80.05,L000557,S001191,John Larson,RepJohnLarson,Kyrsten Sinema,RepSinema,0,0,0,0,11.217579223920172,0.2462311557788945
170,94.74,L000557,S001200,John Larson,RepJohnLarson,Darren Soto,RepDarrenSoto,1,0,0,0,3.744961172981709,0.1452991452991453
172,88.5,L000557,S001201,John Larson,RepJohnLarson,Thomas Suozzi,RepTomSuozzi,1,0,0,1,0.0,0.0
174,93.68,L000557,T000472,John Larson,RepJohnLarson,Mark Takano,RepMarkTakano,1,0,0,0,3.7053651734761788,0.21794871794871795
