,agree_percent,member1_id,member2_id,fullname_1,twitter_account_1,fullname_2,twitter_account_2,same_gender,same_age,same_state,neighborState,ademic,jaccard
135,94.76,I000056,J000299,Darrell Issa,DarrellIssa,Mike Johnson,RepMikeJohnson,1,0,0,0,6.6278308785997675,0.16756756756756758
144,92.42,I000056,K000210,Darrell Issa,DarrellIssa,Peter King,RepPeteKing,1,0,0,0,1.5144259599765613,0.04046242774566474
156,93.95,I000056,L000587,Darrell Issa,DarrellIssa,Jason Lewis,RepJasonLewis,1,1,0,0,1.0142410309601464,0.027777777777777776
159,95.64,I000056,L000583,Darrell Issa,DarrellIssa,Barry Loudermilk,RepLoudermilk,1,0,0,0,7.734354710368367,0.1933701657458564
162,95.64,I000056,L000569,Darrell Issa,DarrellIssa,Blaine Luetkemeyer,RepBlainePress,1,1,0,0,6.576091439668347,0.17613636363636365
217,95.21,I000056,R000609,Darrell Issa,DarrellIssa,John Rutherford,RepRutherfordFL,1,1,0,0,0.5821551600483273,0.016666666666666666
227,94.61,I000056,S001148,Darrell Issa,DarrellIssa,Mike Simpson,CongMikeSimpson,1,1,0,0,1.0057078346281634,0.02298850574712644
229,93.48,I000056,S001195,Darrell Issa,DarrellIssa,Jason Smith,RepJasonSmith,1,0,0,0,6.6062441181313005,0.17714285714285713
232,95.62,I000056,S001199,Darrell Issa,DarrellIssa,Lloyd Smucker,RepSmucker,1,0,0,0,2.7725752058115907,0.07303370786516854
252,94.69,I000056,W000806,Darrell Issa,DarrellIssa,Daniel Webster,RepWebster,1,1,0,0,4.963502004323192,0.13068181818181818
254,94.63,I000056,W000821,Darrell Issa,DarrellIssa,Bruce Westerman,RepWesterman,1,0,0,0,0.6328227811438434,0.017341040462427744
262,94.41,I000056,Y000066,Darrell Issa,DarrellIssa,David Young,RepDavidYoung,1,0,0,0,1.4205024166765667,0.04046242774566474
266,91.81,J000297,J000299,Evan Jenkins,RepEvanJenkins,Mike Johnson,RepMikeJohnson,1,0,0,0,5.553211552571874,0.2184873949579832
268,90.92,J000297,J000174,Evan Jenkins,RepEvanJenkins,Sam Johnson,SamsPressShop,1,0,0,0,3.7661546028741673,0.15384615384615385
275,89.94,J000297,K000210,Evan Jenkins,RepEvanJenkins,Peter King,RepPeteKing,1,0,0,0,0.8550892009965894,0.0380952380952381
287,90.98,J000297,L000587,Evan Jenkins,RepEvanJenkins,Jason Lewis,RepJasonLewis,1,1,0,0,1.2431294970314877,0.05555555555555555
290,92.43,J000297,L000583,Evan Jenkins,RepEvanJenkins,Barry Loudermilk,RepLoudermilk,1,1,0,0,5.237516547922923,0.19834710743801653
292,92.33,J000297,L000491,Evan Jenkins,RepEvanJenkins,Frank Lucas,RepFrankLucas,1,1,0,0,1.8831756494257703,0.08333333333333333
298,75.38,J000297,M001184,Evan Jenkins,RepEvanJenkins,Thomas Massie,RepThomasMassie,1,0,0,1,8.203636885295081,0.2733812949640288
309,93.98,J000297,M001201,Evan Jenkins,RepEvanJenkins,Paul Mitchell,RepPaulMitchell,1,1,0,0,8.004902876304168,0.3064516129032258
323,95.68,J000297,P000606,Evan Jenkins,RepEvanJenkins,Robert Pittenger,RepPittenger,1,0,0,0,13.507481966724095,0.4172185430463576
324,93.77,J000297,P000592,Evan Jenkins,RepEvanJenkins,Ted Poe,JudgeTedPoe,1,0,0,0,5.810430575412491,0.2153846153846154
334,93.18,J000297,R000582,Evan Jenkins,RepEvanJenkins,Phil Roe,DrPhilRoe,1,0,0,0,6.2776037366281034,0.2542372881355932
338,94.21,J000297,R000592,Evan Jenkins,RepEvanJenkins,Todd Rokita,ToddRokita,1,1,0,0,16.858110359603973,0.5131578947368421
348,94.19,J000297,R000609,Evan Jenkins,RepEvanJenkins,John Rutherford,RepRutherfordFL,1,1,0,0,0.5821551600483273,0.027522935779816515
350,84.39,J000297,S000051,Evan Jenkins,RepEvanJenkins,Mark Sanford,RepSanfordSC,1,1,0,0,9.897287919617323,0.3739837398373984
352,90.26,J000297,S001183,Evan Jenkins,RepEvanJenkins,David Schweikert,RepDavid,1,1,0,0,7.272808886726096,0.2692307692307692
353,93.04,J000297,S001189,Evan Jenkins,RepEvanJenkins,Austin Scott,AustinScottGA08,1,1,0,0,8.830427119721975,0.3043478260869565
358,92.98,J000297,S001148,Evan Jenkins,RepEvanJenkins,Mike Simpson,CongMikeSimpson,1,0,0,0,0.6128685620625142,0.02884615384615385
360,94.05,J000297,S001195,Evan Jenkins,RepEvanJenkins,Jason Smith,RepJasonSmith,1,0,0,0,5.337915710888568,0.2272727272727273
361,92.45,J000297,S000583,Evan Jenkins,RepEvanJenkins,Lamar Smith,LamarSmithTX21,1,0,0,0,7.676155217858142,0.2769230769230769
363,93.95,J000297,S001199,Evan Jenkins,RepEvanJenkins,Lloyd Smucker,RepSmucker,1,1,0,1,2.2947166957037277,0.10091743119266056
365,92.4,J000297,S001192,Evan Jenkins,RepEvanJenkins,Chris Stewart,RepChrisStewart,1,1,0,0,8.37520692914372,0.319672131147541
366,96.53,J000297,S001187,Evan Jenkins,RepEvanJenkins,Steve Stivers,RepSteveStivers,1,1,0,1,9.447493895345024,0.3409090909090909
371,96.8,J000297,T000470,Evan Jenkins,RepEvanJenkins,Scott Tipton,RepTipton,1,1,0,0,10.527247040022242,0.3816793893129771
374,94.44,J000297,U000031,Evan Jenkins,RepEvanJenkins,Fred Upton,RepFredUpton,1,1,0,0,15.527954415571122,0.42857142857142855
383,91.1,J000297,W000806,Evan Jenkins,RepEvanJenkins,Daniel Webster,RepWebster,1,0,0,0,2.7234493536909974,0.11304347826086955
385,92.61,J000297,W000821,Evan Jenkins,RepEvanJenkins,Bruce Westerman,RepWesterman,1,1,0,0,0.6328227811438434,0.029411764705882356
386,91.64,J000297,W000816,Evan Jenkins,RepEvanJenkins,Roger Williams,RepRWilliams,1,0,0,0,7.832859657854537,0.2740740740740741
392,92.41,J000297,Y000065,Evan Jenkins,RepEvanJenkins,Ted Yoho,RepTedYoho,1,1,0,0,4.8195315637800045,0.17557251908396945
393,91.46,J000297,Y000066,Evan Jenkins,RepEvanJenkins,David Young,RepDavidYoung,1,1,0,0,1.4205024166765667,0.06862745098039216
396,92.33,J000290,J000299,Lynn Jenkins,RepLynnJenkins,Mike Johnson,RepMikeJohnson,0,1,0,0,3.4007313804340304,0.16494845360824742
397,97.58,J000290,J000292,Lynn Jenkins,RepLynnJenkins,Bill Johnson,RepBillJohnson,0,1,0,0,10.844468454822064,0.3617021276595745
398,92.72,J000290,J000174,Lynn Jenkins,RepLynnJenkins,Sam Johnson,SamsPressShop,0,0,0,0,4.326568709386861,0.24096385542168675
404,92.56,J000290,K000376,Lynn Jenkins,RepLynnJenkins,Mike Kelly,MikeKellyPA,0,0,0,0,7.540122452649973,0.2975206611570248
406,91.96,J000290,K000362,Lynn Jenkins,RepLynnJenkins,Steve King,SteveKingIA,0,0,0,0,2.210458138876596,0.13513513513513514
410,90.27,J000290,L000573,Lynn Jenkins,RepLynnJenkins,Raúl Labrador,Raul_Labrador,0,1,0,0,7.772460838542773,0.3274336283185841
413,92.53,J000290,L000564,Lynn Jenkins,RepLynnJenkins,Doug Lamborn,RepDLamborn,0,1,0,1,7.930420913207395,0.3064516129032258
