,agree_percent,member1_id,member2_id,fullname_1,twitter_account_1,party_x,fullname_2,twitter_account_2,party_y,same_gender,same_age,same_state,neighborState,distance,ademic,jaccard
135,94.76,I000056,J000299,Darrell Issa,DarrellIssa,R,Mike Johnson,RepMikeJohnson,R,1,0,0,0,24.256553084257213,6.723548699226463,0.1901840490797546
144,92.42,I000056,K000210,Darrell Issa,DarrellIssa,R,Peter King,RepPeteKing,R,1,0,0,0,44.71959422939274,1.527412262292335,0.046052631578947366
147,93.66,I000056,K000387,Darrell Issa,DarrellIssa,R,Steve Knight,SteveKnight25,R,1,0,1,0,1.5543372971878944,0.18909786404425666,0.006578947368421052
153,89.14,I000056,L000567,Darrell Issa,DarrellIssa,R,Leonard Lance,RepLanceNJ7,R,1,1,0,0,43.222026745057114,15.072495450247116,0.425
156,93.95,I000056,L000587,Darrell Issa,DarrellIssa,R,Jason Lewis,RepJasonLewis,R,1,1,0,0,26.96313156959373,1.0249941141883923,0.03184713375796178
157,86.19,I000056,L000554,Darrell Issa,DarrellIssa,R,Frank LoBiondo,RepLoBiondo,R,1,1,0,0,42.949306174571326,1.0991842750579637,0.032467532467532464
159,95.64,I000056,L000583,Darrell Issa,DarrellIssa,R,Barry Loudermilk,RepLoudermilk,R,1,0,0,0,32.74877659770493,7.815218715030433,0.220125786163522
162,95.64,I000056,L000569,Darrell Issa,DarrellIssa,R,Blaine Luetkemeyer,RepBlainePress,R,1,1,0,0,26.36398648682525,6.659823408237214,0.2
170,95.56,I000056,M001157,Darrell Issa,DarrellIssa,R,Michael McCaul,RepMcCaul,R,1,1,0,0,21.059776063494734,4.951562360822302,0.14102564102564102
208,96.61,I000056,R000607,Darrell Issa,DarrellIssa,R,Francis Rooney,RepRooney,R,1,1,0,0,36.20546441748278,4.1014966417608205,0.1144578313253012
213,96.33,I000056,R000598,Darrell Issa,DarrellIssa,R,Keith Rothfus,KeithRothfus,R,1,1,0,0,38.55971870134099,12.48237505068634,0.35897435897435903
229,93.48,I000056,S001195,Darrell Issa,DarrellIssa,R,Jason Smith,RepJasonSmith,R,1,0,0,0,26.74091674112062,6.493888014984332,0.19607843137254904
232,95.62,I000056,S001199,Darrell Issa,DarrellIssa,R,Lloyd Smucker,RepSmucker,R,1,0,0,0,41.72571187917621,2.8129710004063027,0.08280254777070062
236,94.94,I000056,T000477,Darrell Issa,DarrellIssa,R,Scott Taylor,RepScottTaylor,R,1,0,0,0,41.66664695940357,0.0,0.0
237,93.22,I000056,T000478,Darrell Issa,DarrellIssa,R,Claudia Tenney,RepTenney,R,0,1,0,0,42.81141963266058,3.491861812453373,0.09937888198757763
239,96.55,I000056,T000238,Darrell Issa,DarrellIssa,R,William Thornberry,MacTXPress,R,1,1,0,0,16.83994602495368,5.864074310898254,0.16666666666666666
252,94.69,I000056,W000806,Darrell Issa,DarrellIssa,R,Daniel Webster,RepWebster,R,1,1,0,0,35.501737831726686,5.006452942699171,0.14838709677419354
254,94.63,I000056,W000821,Darrell Issa,DarrellIssa,R,Bruce Westerman,RepWesterman,R,1,0,0,0,24.19307631501973,0.6403773103187028,0.01973684210526316
262,94.41,I000056,Y000066,Darrell Issa,DarrellIssa,R,David Young,RepDavidYoung,R,1,0,0,0,24.07968308549407,1.434770425121164,0.046052631578947366
266,91.81,J000297,J000299,Evan Jenkins,RepEvanJenkins,R,Mike Johnson,RepMikeJohnson,R,1,0,0,0,13.489086743296886,5.632381075078415,0.2429906542056075
275,89.94,J000297,K000210,Evan Jenkins,RepEvanJenkins,R,Peter King,RepPeteKing,R,1,0,0,0,8.366967242724625,0.8652999856034571,0.0425531914893617
276,90.9,J000297,K000362,Evan Jenkins,RepEvanJenkins,R,Steve King,SteveKingIA,R,1,0,0,0,14.21877546658301,1.450120429600948,0.07142857142857142
281,96.12,J000297,L000585,Evan Jenkins,RepEvanJenkins,R,Darin LaHood,RepLaHood,R,1,1,0,0,9.155251234492816,4.77646232724628,0.21782178217821785
298,75.38,J000297,M001184,Evan Jenkins,RepEvanJenkins,R,Thomas Massie,RepThomasMassie,R,1,0,0,1,3.2806075984858056,7.255433344559657,0.2727272727272727
301,93.29,J000297,M001157,Evan Jenkins,RepEvanJenkins,R,Michael McCaul,RepMcCaul,R,1,1,0,0,17.363194507189515,1.907052222595606,0.08333333333333333
309,93.98,J000297,M001201,Evan Jenkins,RepEvanJenkins,R,Paul Mitchell,RepPaulMitchell,R,1,1,0,0,5.620490314871762,7.690651569375236,0.32432432432432434
334,93.18,J000297,R000582,Evan Jenkins,RepEvanJenkins,R,Phil Roe,DrPhilRoe,R,1,0,0,0,2.3905969423922184,6.36985357119842,0.2803738317757009
338,94.21,J000297,R000592,Evan Jenkins,RepEvanJenkins,R,Todd Rokita,ToddRokita,R,1,1,0,0,6.147621269073907,16.452728386927486,0.5434782608695652
339,92.26,J000297,R000607,Evan Jenkins,RepEvanJenkins,R,Francis Rooney,RepRooney,R,1,1,0,0,11.55618020247057,3.8154851234518574,0.16981132075471694
340,92.46,J000297,R000583,Evan Jenkins,RepEvanJenkins,R,Tom Rooney,TomRooney,R,1,0,0,0,10.758081735888206,8.961057200321457,0.3181818181818182
372,93.0,J000297,T000475,Evan Jenkins,RepEvanJenkins,R,Dave Trott,repdavetrott,R,1,1,0,0,5.068891882886186,9.47569584656593,0.4230769230769231
375,96.41,J000297,V000129,Evan Jenkins,RepEvanJenkins,R,David Valadao,RepDavidValadao,R,1,0,0,0,38.700843760381524,2.7520535650341578,0.1262135922330097
385,92.61,J000297,W000821,Evan Jenkins,RepEvanJenkins,R,Bruce Westerman,RepWesterman,R,1,1,0,0,12.591746285370073,0.6403773103187028,0.03296703296703297
396,92.33,J000290,J000299,Lynn Jenkins,RepLynnJenkins,R,Mike Johnson,RepMikeJohnson,R,0,1,0,0,7.059778793032849,3.468078299491877,0.16666666666666666
397,97.58,J000290,J000292,Lynn Jenkins,RepLynnJenkins,R,Bill Johnson,RepBillJohnson,R,0,1,0,0,13.940895711967144,10.982351927918314,0.375
398,92.72,J000290,J000174,Lynn Jenkins,RepLynnJenkins,R,Sam Johnson,SamsPressShop,R,0,0,0,0,5.458675471397211,4.362054124018102,0.24096385542168675
401,94.46,J000290,J000295,Lynn Jenkins,RepLynnJenkins,R,Dave Joyce,RepDaveJoyce,R,0,1,0,0,14.751148110891464,9.818177578532387,0.4259259259259259
406,91.96,J000290,K000362,Lynn Jenkins,RepLynnJenkins,R,Steve King,SteveKingIA,R,0,0,0,0,4.214302317808001,2.239215783482601,0.13513513513513514
408,96.34,J000290,K000387,Lynn Jenkins,RepLynnJenkins,R,Steve Knight,SteveKnight25,R,0,1,0,0,23.179307973873467,0.18909786404425666,0.014285714285714284
411,96.69,J000290,L000585,Lynn Jenkins,RepLynnJenkins,R,Darin LaHood,RepLaHood,R,0,1,0,0,5.635471775626942,3.919158105741518,0.21428571428571427
413,92.53,J000290,L000564,Lynn Jenkins,RepLynnJenkins,R,Doug Lamborn,RepDLamborn,R,0,0,0,1,9.908832519792929,8.035711995137358,0.3193277310924369
417,92.05,J000290,L000587,Lynn Jenkins,RepLynnJenkins,R,Jason Lewis,RepJasonLewis,R,0,1,0,0,6.5338411891159,0.5828721513206733,0.03896103896103896
423,92.9,J000290,L000569,Lynn Jenkins,RepLynnJenkins,R,Blaine Luetkemeyer,RepBlainePress,R,0,0,0,1,3.881181434783569,4.534317754332883,0.2530120481927711
426,92.21,J000290,M001179,Lynn Jenkins,RepLynnJenkins,R,Tom Marino,RepTomMarino,R,0,0,0,0,19.13669384303108,11.612161111037329,0.4122137404580153
428,77.12,J000290,M001184,Lynn Jenkins,RepLynnJenkins,R,Thomas Massie,RepThomasMassie,R,0,1,0,0,11.008202266873216,4.7915588261982025,0.1981981981981982
431,93.5,J000290,M001157,Lynn Jenkins,RepLynnJenkins,R,Michael McCaul,RepMcCaul,R,0,1,0,0,8.595475253534728,3.6159531293423335,0.2
436,94.67,J000290,M001197,Lynn Jenkins,RepLynnJenkins,R,Martha McSally,RepMcSally,R,1,1,0,0,15.935242669058097,6.368554133545255,0.30612244897959184
439,94.97,J000290,M001201,Lynn Jenkins,RepLynnJenkins,R,Paul Mitchell,RepPaulMitchell,R,0,1,0,0,13.351511150549872,4.452192617506638,0.2
448,94.63,J000290,P000601,Lynn Jenkins,RepLynnJenkins,R,Steven Palazzo,CongPalazzo,R,0,1,0,0,9.770217430391881,8.195530335987115,0.36893203883495146
458,95.86,J000290,R000601,Lynn Jenkins,RepLynnJenkins,R,John Ratcliffe,RepRatcliffe,R,0,1,0,0,5.177358743225751,6.284221320997079,0.2416666666666667
462,94.71,J000290,R000597,Lynn Jenkins,RepLynnJenkins,R,Tom Rice,RepTomRice,R,0,1,0,0,16.492182137867662,10.296257242518656,0.36641221374045796
465,92.87,J000290,R000395,Lynn Jenkins,RepLynnJenkins,R,Harold Rogers,RepHalRogers,R,0,0,0,0,11.965558087419224,5.473049870489111,0.2921348314606741
469,92.7,J000290,R000607,Lynn Jenkins,RepLynnJenkins,R,Francis Rooney,RepRooney,R,0,0,0,0,18.155554890775964,1.9437736015427869,0.09574468085106384
473,95.02,J000290,R000593,Lynn Jenkins,RepLynnJenkins,R,Dennis Ross,RepDennisRoss,R,0,1,0,0,16.940085056299495,11.26098560555501,0.4227642276422765
474,92.71,J000290,R000598,Lynn Jenkins,RepLynnJenkins,R,Keith Rothfus,KeithRothfus,R,0,1,0,0,16.062808811386127,5.732018589672871,0.2621359223300971
