,agree_percent,member1_id,member2_id,fullname_1,twitter_account_1,party_x,fullname_2,twitter_account_2,party_y,same_gender,same_age,same_state,neighborState,distance
0,95.79,L000560,L000557,Rick Larsen,RepRickLarsen,D,John Larson,RepJohnLarson,D,1,0,0,0,50.126964194464776
1,96.37,L000560,L000581,Rick Larsen,RepRickLarsen,D,Brenda Lawrence,RepLawrence,D,0,0,0,0,39.73737462038453
2,93.67,L000560,L000586,Rick Larsen,RepRickLarsen,D,Al Lawson,RepAlLawsonJr,D,1,0,0,0,43.07424819558727
3,92.16,L000560,L000551,Rick Larsen,RepRickLarsen,D,Barbara Lee,RepBarbaraLee,D,0,0,0,0,10.570002359255087
4,95.56,L000560,L000263,Rick Larsen,RepRickLarsen,D,Sander Levin,RepSandyLevin,D,1,0,0,0,39.873279111951604
5,93.44,L000560,L000287,Rick Larsen,RepRickLarsen,D,John Lewis,RepJohnLewis,D,1,0,0,0,40.81617224603181
6,93.8,L000560,L000582,Rick Larsen,RepRickLarsen,D,Ted Lieu,RepTedLieu,D,1,1,0,0,14.845987631097849
7,92.74,L000560,L000563,Rick Larsen,RepRickLarsen,D,Daniel Lipinski,RepLipinski,D,1,1,0,0,35.241002406769226
8,92.72,L000560,L000565,Rick Larsen,RepRickLarsen,D,Dave Loebsack,DaveLoebsack,D,1,0,0,0,31.179749107109817
9,94.11,L000560,L000397,Rick Larsen,RepRickLarsen,D,Zoe Lofgren,RepZoeLofgren,D,0,0,0,0,11.18461062346338
10,94.48,L000560,L000579,Rick Larsen,RepRickLarsen,D,Alan Lowenthal,RepLowenthal,D,1,0,0,0,15.502279087562115
11,95.66,L000560,L000480,Rick Larsen,RepRickLarsen,D,Nita Lowey,NitaLowey,D,0,0,0,0,49.11810796751752
12,95.9,L000560,L000570,Rick Larsen,RepRickLarsen,D,Ben Luján,RepBenRayLujan,D,1,1,0,0,20.757602330897406
13,95.13,L000560,L000580,Rick Larsen,RepRickLarsen,D,Michelle Lujan Grisham,RepLujanGrisham,D,0,1,0,0,21.32984704598238
14,93.0,L000560,L000562,Rick Larsen,RepRickLarsen,D,Stephen Lynch,RepStephenLynch,D,1,0,0,0,51.8523091317515
15,92.28,L000560,M001185,Rick Larsen,RepRickLarsen,D,Sean Maloney,RepSeanMaloney,D,1,1,0,0,48.913883962820044
16,95.72,L000560,M000087,Rick Larsen,RepRickLarsen,D,Carolyn Maloney,RepMaloney,D,0,0,0,0,49.14035209172857
17,95.83,L000560,M001163,Rick Larsen,RepRickLarsen,D,Doris Matsui,DorisMatsui,D,0,0,0,0,9.813154836930504
18,95.96,L000560,M001143,Rick Larsen,RepRickLarsen,D,Betty McCollum,BettyMcCollum04,D,0,0,0,0,29.70785882747932
19,96.34,L000560,M001200,Rick Larsen,RepRickLarsen,D,A. McEachin,RepMcEachin,D,1,1,0,0,46.74746523107624
20,93.26,L000560,M000312,Rick Larsen,RepRickLarsen,D,Jim McGovern,RepMcGovern,D,1,1,0,0,50.73346003066228
21,95.41,L000560,M001166,Rick Larsen,RepRickLarsen,D,Jerry McNerney,RepMcNerney,D,1,0,0,0,10.412662463039208
22,94.98,L000560,M001137,Rick Larsen,RepRickLarsen,D,Gregory Meeks,RepGregoryMeeks,D,1,0,0,0,49.32007310619549
23,95.75,L000560,M001188,Rick Larsen,RepRickLarsen,D,Grace Meng,RepGraceMeng,D,0,0,0,0,49.26799976479467
24,94.05,L000560,M001160,Rick Larsen,RepRickLarsen,D,Gwen Moore,RepGwenMoore,D,0,0,0,0,34.950609343196966
25,96.44,L000560,M001196,Rick Larsen,RepRickLarsen,D,Seth Moulton,teammoulton,D,1,0,0,0,51.841504104437334
26,88.9,L000560,M001202,Rick Larsen,RepRickLarsen,D,Stephanie Murphy,RepStephMurphy,D,0,0,0,0,45.702193012155476
27,94.98,L000560,N000002,Rick Larsen,RepRickLarsen,D,Jerrold Nadler,RepJerryNadler,D,1,0,0,0,49.10409787840439
28,96.14,L000560,N000179,Rick Larsen,RepRickLarsen,D,Grace Napolitano,GraceNapolitano,D,0,0,0,0,14.983412733560428
29,95.35,L000560,N000015,Rick Larsen,RepRickLarsen,D,Richard Neal,RepRichardNeal,D,1,0,0,0,50.00747319872226
30,93.77,L000560,N000127,Rick Larsen,RepRickLarsen,D,Rick Nolan,USRepRickNolan,D,1,0,0,0,29.38556851959873
31,93.77,L000560,N000188,Rick Larsen,RepRickLarsen,D,Donald Norcross,DonaldNorcross,D,1,1,0,0,48.20813227891252
33,87.16,L000560,O000171,Rick Larsen,RepRickLarsen,D,Tom O'Halleran,repohalleran,D,1,0,0,0,17.808376403207163
34,95.47,L000560,O000170,Rick Larsen,RepRickLarsen,D,Beto O'Rourke,RepBetoORourke,D,1,1,0,0,23.133448309549113
35,93.74,L000560,P000034,Rick Larsen,RepRickLarsen,D,Frank Pallone,FrankPallone,D,1,0,0,0,48.879283184971506
36,94.54,L000560,P000613,Rick Larsen,RepRickLarsen,D,Jimmy Panetta,RepJimmyPanetta,D,1,1,0,0,12.063025778653982
37,95.19,L000560,P000096,Rick Larsen,RepRickLarsen,D,Bill Pascrell,BillPascrell,D,1,0,0,0,49.00195363825625
38,94.38,L000560,P000604,Rick Larsen,RepRickLarsen,D,Donald Payne,RepDonaldPayne,D,1,1,0,0,48.892544517548544
39,96.44,L000560,P000197,Rick Larsen,RepRickLarsen,D,Nancy Pelosi,NancyPelosi,D,0,0,0,0,10.59164312327213
40,94.85,L000560,P000593,Rick Larsen,RepRickLarsen,D,Ed Perlmutter,RepPerlmutter,D,1,0,0,0,19.428624330442148
41,89.25,L000560,P000608,Rick Larsen,RepRickLarsen,D,Scott Peters,RepScottPeters,D,1,1,0,0,16.371513353044797
43,95.85,L000560,P000597,Rick Larsen,RepRickLarsen,D,Chellie Pingree,ChelliePingree,D,0,0,0,0,52.589074737673094
45,95.07,L000560,P000607,Rick Larsen,RepRickLarsen,D,Mark Pocan,RepMarkPocan,D,1,1,0,0,33.188675629885026
46,93.99,L000560,P000598,Rick Larsen,RepRickLarsen,D,Jared Polis,JaredPolis,D,1,1,0,0,18.670728642620467
47,95.97,L000560,P000523,Rick Larsen,RepRickLarsen,D,David Price,RepDavidEPrice,D,1,0,0,0,45.2988294654704
48,95.89,L000560,Q000023,Rick Larsen,RepRickLarsen,D,Mike Quigley,RepMikeQuigley,D,1,1,0,0,35.253702486079675
49,93.91,L000560,R000606,Rick Larsen,RepRickLarsen,D,Jamie Raskin,repraskin,D,1,1,0,0,46.118610137487295
50,94.32,L000560,R000602,Rick Larsen,RepRickLarsen,D,Kathleen Rice,RepKathleenRice,D,0,1,0,0,49.4880004628537
51,93.57,L000560,R000588,Rick Larsen,RepRickLarsen,D,Cedric Richmond,RepRichmond,D,1,1,0,0,36.77484785607064
52,89.71,L000560,R000608,Rick Larsen,RepRickLarsen,D,Jacky Rosen,RepJackyRosen,D,0,1,0,0,14.624726993357744
53,95.42,L000560,R000486,Rick Larsen,RepRickLarsen,D,Lucille Roybal-Allard,RepRoybalAllard,D,0,0,0,0,15.020052253066778
54,92.23,L000560,R000599,Rick Larsen,RepRickLarsen,D,Raul Ruiz,CongressmanRuiz,D,1,1,0,0,16.104196052545074
55,94.79,L000560,R000576,Rick Larsen,RepRickLarsen,D,C.A. Dutch Ruppersberger,Call_Me_Dutch,D,1,0,0,0,46.889586105068645
56,92.81,L000560,R000515,Rick Larsen,RepRickLarsen,D,Bobby Rush,RepBobbyRush,D,1,0,0,0,35.32748899098643
57,95.45,L000560,R000577,Rick Larsen,RepRickLarsen,D,Tim Ryan,RepTimRyan,D,1,1,0,0,42.148010751315454
59,94.54,L000560,S001156,Rick Larsen,RepRickLarsen,D,Linda Sánchez,RepLindaSanchez,D,0,1,0,0,15.081291550541597
60,95.07,L000560,S001168,Rick Larsen,RepRickLarsen,D,John Sarbanes,RepSarbanes,D,1,1,0,0,46.66722747019116
61,93.11,L000560,S001145,Rick Larsen,RepRickLarsen,D,Jan Schakowsky,JanSchakowsky,D,0,0,0,0,35.25651743076273
62,95.99,L000560,S001150,Rick Larsen,RepRickLarsen,D,Adam Schiff,RepAdamSchiff,D,1,1,0,0,14.71902021179042
63,90.43,L000560,S001190,Rick Larsen,RepRickLarsen,D,Brad Schneider,repschneider,D,1,1,0,0,35.09072043753651
64,87.96,L000560,S001180,Rick Larsen,RepRickLarsen,D,Kurt Schrader,RepSchrader,D,1,0,0,1,3.394475462618772
65,94.89,L000560,S001157,Rick Larsen,RepRickLarsen,D,David Scott,RepDavidScott,D,1,0,0,0,40.693774794711935
66,95.31,L000560,S000185,Rick Larsen,RepRickLarsen,D,Robert Scott,BobbyScott,D,1,0,0,0,47.3228994556025
67,94.06,L000560,S000248,Rick Larsen,RepRickLarsen,D,José Serrano,RepJoseSerrano,D,1,0,0,0,49.18782912492809
68,94.2,L000560,S001185,Rick Larsen,RepRickLarsen,D,Terri Sewell,RepTerriSewell,D,0,1,0,0,38.33167891863423
69,95.73,L000560,S001170,Rick Larsen,RepRickLarsen,D,Carol Shea-Porter,repsheaporter,D,0,0,0,0,51.510458478905115
70,95.54,L000560,S000344,Rick Larsen,RepRickLarsen,D,Brad Sherman,BradSherman,D,1,0,0,0,14.693920549512908
71,79.42,L000560,S001191,Rick Larsen,RepRickLarsen,D,Kyrsten Sinema,RepSinema,D,0,0,0,0,18.296009379851274
72,94.13,L000560,S001165,Rick Larsen,RepRickLarsen,D,Albio Sires,RepSires,D,1,0,0,0,48.985781173824996
73,94.86,L000560,S000510,Rick Larsen,RepRickLarsen,D,Adam Smith,RepAdamSmith,D,1,1,1,0,0.9217595041388202
74,94.16,L000560,S001200,Rick Larsen,RepRickLarsen,D,Darren Soto,RepDarrenSoto,D,1,0,0,0,45.95077659178338
75,95.05,L000560,S001175,Rick Larsen,RepRickLarsen,D,Jackie Speier,RepSpeier,D,0,0,0,0,10.830829775371322
76,89.19,L000560,S001201,Rick Larsen,RepRickLarsen,D,Thomas Suozzi,RepTomSuozzi,D,1,1,0,0,49.576198931779174
77,94.03,L000560,S001193,Rick Larsen,RepRickLarsen,D,Eric Swalwell,RepSwalwell,D,1,0,0,0,10.731987293568745
