,agree_percent,member1_id,member2_id,fullname_1,twitter_account_1,party_x,fullname_2,twitter_account_2,party_y,same_gender,same_age,same_state,neighborState,distance
0,94.17,H001073,I000056,Will Hurd,hurdonthehill,R,Darrell Issa,DarrellIssa,R,1,0,0,0,15.309839477599047
1,95.1,H001073,J000297,Will Hurd,hurdonthehill,R,Evan Jenkins,RepEvanJenkins,R,1,0,0,0,22.493386002478786
2,95.83,H001073,J000290,Will Hurd,hurdonthehill,R,Lynn Jenkins,RepLynnJenkins,R,0,0,0,0,10.664902218728061
3,92.78,H001073,J000299,Will Hurd,hurdonthehill,R,Mike Johnson,RepMikeJohnson,R,1,1,0,1,9.292392001300463
4,96.47,H001073,J000292,Will Hurd,hurdonthehill,R,Bill Johnson,RepBillJohnson,R,1,0,0,0,22.831550044412012
5,91.92,H001073,J000174,Will Hurd,hurdonthehill,R,Sam Johnson,SamsPressShop,R,1,0,1,0,6.384265060722753
6,62.86,H001073,J000255,Will Hurd,hurdonthehill,R,Walter Jones,RepWalterJones,R,1,0,0,0,26.05036548427239
7,91.5,H001073,J000289,Will Hurd,hurdonthehill,R,Jim Jordan,Jim_Jordan,R,1,0,0,0,21.53051381614895
8,94.87,H001073,J000295,Will Hurd,hurdonthehill,R,Dave Joyce,RepDaveJoyce,R,1,0,0,0,24.103355825521845
9,91.76,H001073,K000386,Will Hurd,hurdonthehill,R,John Katko,RepJohnKatko,R,1,0,0,0,28.77312237759999
10,93.14,H001073,K000388,Will Hurd,hurdonthehill,R,Trent Kelly,reptrentkelly,R,1,0,0,0,13.891138633138178
11,93.8,H001073,K000376,Will Hurd,hurdonthehill,R,Mike Kelly,MikeKellyPA,R,1,0,0,0,24.88437709374843
12,91.27,H001073,K000210,Will Hurd,hurdonthehill,R,Peter King,RepPeteKing,R,1,0,0,0,30.85972469527854
13,91.72,H001073,K000362,Will Hurd,hurdonthehill,R,Steve King,SteveKingIA,R,1,0,0,0,14.478399932484693
14,94.83,H001073,K000378,Will Hurd,hurdonthehill,R,Adam Kinzinger,RepKinzinger,R,1,1,0,0,17.472514373317583
15,96.15,H001073,K000387,Will Hurd,hurdonthehill,R,Steve Knight,SteveKnight25,R,1,0,0,0,16.467407334189225
16,93.17,H001073,K000392,Will Hurd,hurdonthehill,R,David Kustoff,repdavidkustoff,R,1,0,0,0,14.350916563261375
17,89.22,H001073,L000573,Will Hurd,hurdonthehill,R,Raúl Labrador,Raul_Labrador,R,1,0,0,0,20.282528665928407
18,94.71,H001073,L000585,Will Hurd,hurdonthehill,R,Darin LaHood,RepLaHood,R,1,1,0,0,15.748359248297596
19,92.66,H001073,L000578,Will Hurd,hurdonthehill,R,Doug LaMalfa,RepLaMalfa,R,1,0,0,0,21.772330184309396
20,92.28,H001073,L000564,Will Hurd,hurdonthehill,R,Doug Lamborn,RepDLamborn,R,1,0,0,0,8.951347767638527
21,90.91,H001073,L000567,Will Hurd,hurdonthehill,R,Leonard Lance,RepLanceNJ7,R,1,0,0,0,29.41661794798976
22,94.74,H001073,L000566,Will Hurd,hurdonthehill,R,Robert Latta,BobLatta,R,1,0,0,0,21.255145522988368
24,91.82,H001073,L000587,Will Hurd,hurdonthehill,R,Jason Lewis,RepJasonLewis,R,1,0,0,0,17.01677148832411
25,88.36,H001073,L000554,Will Hurd,hurdonthehill,R,Frank LoBiondo,RepLoBiondo,R,1,0,0,0,28.946088734682746
26,93.76,H001073,L000576,Will Hurd,hurdonthehill,R,Billy Long,USRepLong,R,1,0,0,0,10.89851160411666
27,92.76,H001073,L000583,Will Hurd,hurdonthehill,R,Barry Loudermilk,RepLoudermilk,R,1,0,0,0,18.117031656347304
28,93.8,H001073,L000584,Will Hurd,hurdonthehill,R,Mia Love,repmialove,R,0,1,0,0,13.426473134318158
29,95.03,H001073,L000491,Will Hurd,hurdonthehill,R,Frank Lucas,RepFrankLucas,R,1,0,0,1,6.7369731821592245
30,94.23,H001073,L000569,Will Hurd,hurdonthehill,R,Blaine Luetkemeyer,RepBlainePress,R,1,0,0,0,13.565969742542384
31,94.22,H001073,M001193,Will Hurd,hurdonthehill,R,Tom MacArthur,RepTomMacArthur,R,1,0,0,0,29.41728434451814
32,94.54,H001073,M001158,Will Hurd,hurdonthehill,R,Kenny Marchant,RepKenMarchant,R,1,0,1,0,5.924140334175196
33,93.96,H001073,M001179,Will Hurd,hurdonthehill,R,Tom Marino,RepTomMarino,R,1,0,0,0,28.086780202262677
35,76.7,H001073,M001184,Will Hurd,hurdonthehill,R,Thomas Massie,RepThomasMassie,R,1,1,0,0,19.717762996790253
36,92.78,H001073,M001199,Will Hurd,hurdonthehill,R,Brian Mast,repbrianmast,R,1,1,0,0,22.19358035391057
37,94.34,H001073,M001165,Will Hurd,hurdonthehill,R,Kevin McCarthy,GOPLeader,R,1,0,0,0,17.000355647624865
