,twitter_id,party
0,AustinScottGA08,R
1,BennieGThompson,D
2,BettyMcCollum04,D
3,BillPascrell,D
4,BlumenauerMedia,D
5,BobbyScott,D
6,BradSherman,D
7,Call_Me_Dutch,D
8,Clyburn,D
9,ConawayTX11,R
10,CongCulberson,R
11,CongMikeSimpson,R
12,CongPalazzo,R
13,CongressmanGT,R
14,DarrellIssa,R
15,DesJarlaisTN04,R
16,DonaldNorcross,D
17,DorisMatsui,D
18,DrPhilRoe,R
19,EleanorNorton,D
20,FrankPallone,D
21,GKButterfield,D
22,GOPLeader,R
23,GerryConnolly,D
24,GreggHarper,R
25,HerreraBeutler,R
26,JacksonLeeTX18,D
27,JeffFortenberry,R
28,JimLangevin,D
29,JimPressOffice,R
30,Jim_Jordan,R
31,JoaquinCastrotx,D
32,JudgeCarter,R
33,JudgeTedPoe,R
34,JuliaBrownley26,D
35,KeithRothfus,R
36,KenCalvert,R
37,LamarSmithTX21,R
38,MacTXPress,R
39,MarioDB,R
40,MarkAmodeiNV2,R
41,MarshaBlackburn,R
42,MaxineWaters,D
43,MikeKellyPA,R
44,NancyPelosi,D
45,NitaLowey,D
46,NormaJTorres,D
47,NydiaVelazquez,D
48,PatrickMcHenry,R
49,PeteSessions,R
50,PeterRoskam,R
51,PeterWelch,D
52,Raul_Labrador,R
53,RepAbraham,R
54,RepAdamSchiff,D
55,RepAdamSmith,D
56,RepAdams,D
57,RepAdrianSmith,R
58,RepAlGreen,D
59,RepAlLawsonJr,D
60,RepAlexMooney,R
61,RepAmata,R
62,RepAndreCarson,D
63,RepAndyBarr,R
64,RepAndyBiggsAZ,R
65,RepAndyHarrisMD,R
66,RepAnnWagner,R
67,RepAnnaEshoo,D
68,RepAnnieKuster,D
69,RepAnthonyBrown,D
70,RepArrington,R
71,RepBRochester,D
72,RepBarbaraLee,D
73,RepBarragan,D
74,RepBeatty,D
75,RepBera,D
76,RepBetoORourke,D
77,RepBillFlores,R
78,RepBillFoster,D
79,RepBillJohnson,R
80,RepBillShuster,R
81,RepBlainePress,R
82,RepBobGibbs,R
83,RepBobbyRush,D
84,RepBonamici,D
85,RepBonnie,D
86,RepBost,R
87,RepBradWenstrup,R
88,RepBrady,D
89,RepBrendanBoyle,D
90,RepBrianBabin,R
91,RepBrianHiggins,D
92,RepBuddyCarter,R
93,RepByrne,R
94,RepCarbajal,D
95,RepCardenas,D
96,RepCartwright,D
97,RepCharlieDent,R
98,RepCheri,D
99,RepChrisCollins,R
100,RepChrisSmith,R
101,RepChrisStewart,R
102,RepChuck,R
103,RepCicilline,D
104,RepClayHiggins,R
105,RepCohen,D
106,RepComstock,R
107,RepCuellar,D
108,RepCummings,D
109,RepCurbelo,R
110,RepDLamborn,R
111,RepDWStweets,D
112,RepDanDonovan,R
113,RepDanKildee,D
114,RepDannyDavis,D
115,RepDarrenSoto,D
116,RepDaveBrat,R
117,RepDaveJoyce,R
118,RepDavid,R
119,RepDavidEPrice,D
120,RepDavidRouzer,R
121,RepDavidValadao,R
122,RepDavidYoung,R
123,RepDeSantis,R
124,RepDeSaulnier,D
125,RepDebDingell,D
126,RepDelBene,D
127,RepDennisRoss,R
128,RepDennyHeck,D
129,RepDerekKilmer,D
130,RepDianaDeGette,D
131,RepDianeBlack,R
132,RepDonBacon,R
133,RepDonaldPayne,D
134,RepDougCollins,R
135,RepDrewFerguson,R
136,RepDwightEvans,D
137,RepEBJ,D
138,RepEdRoyce,R
139,RepEliotEngel,D
140,RepErikPaulsen,R
141,RepEspaillat,D
142,RepEsty,D
143,RepEvanJenkins,R
144,RepFilemonVela,D
145,RepFrankLucas,R
146,RepFredUpton,R
147,RepFrenchHill,R
148,RepGallagher,R
149,RepGaramendi,D
150,RepGarretGraves,R
151,RepGeneGreen,D
152,RepGonzalez,D
153,RepGoodlatte,R
154,RepGosar,R
155,RepGraceMeng,D
156,RepGregoryMeeks,D
157,RepGrothman,R
158,RepGusBilirakis,R
159,RepGuthrie,R
160,RepGwenMoore,D
161,RepHalRogers,R
162,RepHanabusa,D
163,RepHankJohnson,D
164,RepHartzler,R
165,RepHastingsFL,D
166,RepHensarling,R
167,RepHolding,R
168,RepHuffman,D
169,RepHuizenga,R
170,RepHultgren,R
171,RepJBridenstine,R
172,RepJackBergman,R
173,RepJackyRosen,D
174,RepJasonLewis,R
175,RepJasonSmith,R
176,RepJayapal,D
177,RepJeffDenham,R
178,RepJeffDuncan,R
179,RepJeffries,D
180,RepJerryNadler,D
181,RepJimBanks,R
182,RepJimCosta,D
183,RepJimRenacci,R
184,RepJimmyGomez,D
185,RepJimmyPanetta,D
186,RepJoeBarton,R
187,RepJoeCourtney,D
188,RepJoeKennedy,D
189,RepJoeWilson,R
190,RepJohnConyers,D
191,RepJohnCurtis,R
192,RepJohnDelaney,D
193,RepJohnDuncanJr,R
194,RepJohnFaso,R
195,RepJohnKatko,R
196,RepJohnLarson,D
197,RepJohnYarmuth,D
198,RepJoseSerrano,D
199,RepJoshG,D
200,RepJuanVargas,D
201,RepJudyChu,D
202,RepKClark,D
203,RepKHandel,R
204,RepKarenBass,D
205,RepKathleenRice,D
206,RepKayGranger,R
207,RepKenBuck,R
208,RepKenMarchant,R
209,RepKevinBrady,R
210,RepKevinCramer,R
211,RepKevinYoder,R
212,RepKihuen,D
213,RepKinzinger,R
214,RepKristiNoem,R
215,RepLaHood,R
216,RepLaMalfa,R
217,RepLanceNJ7,R
218,RepLarryBucshon,R
219,RepLawrence,D
220,RepLeeZeldin,R
221,RepLindaSanchez,D
222,RepLipinski,D
223,RepLizCheney,R
224,RepLloydDoggett,D
225,RepLoBiondo,R
226,RepLoisFrankel,D
227,RepLouBarletta,R
228,RepLoudermilk,R
229,RepLowenthal,D
230,RepLujanGrisham,D
231,RepLukeMesser,R
232,RepLynnJenkins,R
233,RepMGriffith,R
234,RepMaloney,D
235,RepMarciaFudge,D
236,RepMarcyKaptur,D
237,RepMarkMeadows,R
238,RepMarkTakano,D
239,RepMarkWalker,R
240,RepMarthaRoby,R
241,RepMattGaetz,R
242,RepMcCaul,R
243,RepMcEachin,D
244,RepMcGovern,D
245,RepMcKinley,R
246,RepMcNerney,D
247,RepMcSally,R
248,RepMeehan,R
249,RepMikeBishop,R
250,RepMikeCapuano,D
251,RepMikeCoffman,R
252,RepMikeJohnson,R
253,RepMikeQuigley,D
254,RepMikeRogersAL,R
255,RepMikeTurner,R
256,RepMimiWalters,R
257,RepMoBrooks,R
258,RepMoolenaar,R
259,RepMullin,R
260,RepNewhouse,R
261,RepPaulCook,R
262,RepPaulMitchell,R
263,RepPaulTonko,D
264,RepPerlmutter,D
265,RepPeteKing,R
266,RepPeteOlson,R
267,RepPeterDeFazio,D
268,RepPittenger,R
269,RepPoliquin,R
270,RepRWilliams,R
271,RepRalphNorman,R
272,RepRatcliffe,R
273,RepRichHudson,R
274,RepRichardNeal,D
275,RepRichmond,D
276,RepRickCrawford,R
277,RepRickLarsen,D
278,RepRoKhanna,D
279,RepRobBishop,R
280,RepRobWoodall,R
281,RepRobinKelly,D
282,RepRodBlum,R
283,RepRonEstes,R
284,RepRonKind,D
285,RepRooney,R
286,RepRoybalAllard,D
287,RepRubenGallego,D
288,RepRussell,R
289,RepRutherfordFL,R
290,RepRyanCostello,R
291,RepRyanZinke,R
292,RepSamGraves,R
293,RepSanfordSC,R
294,RepSarbanes,D
295,RepSchrader,D
296,RepScottPerry,R
297,RepScottPeters,D
298,RepScottTaylor,R
299,RepSeanDuffy,R
300,RepSeanMaloney,D
301,RepShimkus,R
302,RepSinema,D
303,RepSires,D
304,RepSmucker,R
305,RepSpeier,D
306,RepStefanik,R
307,RepStephMurphy,D
308,RepStephenLynch,D
309,RepSteveChabot,R
310,RepStevePearce,R
311,RepSteveStivers,R
312,RepSusanDavis,D
313,RepSwalwell,D
314,RepTedBudd,R
315,RepTedDeutch,D
316,RepTedLieu,D
317,RepTedYoho,R
318,RepTenney,R
319,RepTerriSewell,D
320,RepThomasMassie,R
321,RepThompson,D
322,RepTimRyan,D
323,RepTimWalz,D
324,RepTipton,R
325,RepTomEmmer,R
