,caucus,name,twitter_id
0,Freedom Caucus,Scott DesJarlais,DesJarlaisTN04
1,Freedom Caucus,Jim Jordan,Jim_Jordan
2,Freedom Caucus,Ted Budd,RepTedBudd
3,Freedom Caucus,Louie Gohmert,RepLouieGohmert
4,Freedom Caucus,Mark Sanford,RepSanfordSC
5,Freedom Caucus,Andy Harris,RepAndyHarrisMD
6,Freedom Caucus,Gary Palmer,USRepGaryPalmer
7,Freedom Caucus,Keith Rothfus,KeithRothfus
8,Freedom Caucus,Ron DeSantis,RepDeSantis
9,Freedom Caucus,Alex Mooney,RepAlexMooney
10,Freedom Caucus,Ted Poe,JudgeTedPoe
11,Freedom Caucus,Ken Buck,RepKenBuck
12,Freedom Caucus,Andy Biggs,RepAndyBiggsAZ
13,Freedom Caucus,Trey Gowdy,TGowdySC
14,Freedom Caucus,Barry Loudermilk,RepLoudermilk
15,Freedom Caucus,Matt Gaetz,RepMattGaetz
16,Freedom Caucus,Jody Hice,congressmanhice
17,Freedom Caucus,Tom McClintock,RepMcClintock
18,Freedom Caucus,Raúl Labrador,Raul_Labrador
19,Freedom Caucus,Mo Brooks,RepMoBrooks
20,Freedom Caucus,Rod Blum,RepRodBlum
21,Freedom Caucus,Warren Davidson,WarrenDavidson
22,Freedom Caucus,Steve Pearce,RepStevePearce
23,Freedom Caucus,Scott Perry,RepScottPerry
24,Freedom Caucus,Justin Amash,
25,Freedom Caucus,Kevin McCarthy,GOPLeader
26,Freedom Caucus,Paul Gosar,RepGosar
27,Freedom Caucus,Roger Marshall,
28,Freedom Caucus,Bill Posey,CongBillPosey
29,Freedom Caucus,Brian Babin,RepBrianBabin
30,Freedom Caucus,Randy Weber,TXRandy14
31,Freedom Caucus,Ted Yoho,RepTedYoho
32,Freedom Caucus,Morgan Griffith,RepMGriffith
33,Freedom Caucus,David Schweikert,RepDavid
34,Freedom Caucus,Mark Meadows,RepMarkMeadows
35,Liberty Caucus,Trey Gowdy,TGowdySC
36,Liberty Caucus,Tom Graves,RepTomGraves
37,Liberty Caucus,Justin Amash,
38,Liberty Caucus,Paul Gosar,RepGosar
39,Liberty Caucus,Vicky Hartzler,RepHartzler
40,Liberty Caucus,Bill Posey,CongBillPosey
41,Liberty Caucus,Thomas Massie,RepThomasMassie
42,Liberty Caucus,Tim Walberg,RepWalberg
43,Liberty Caucus,Raúl Labrador,Raul_Labrador
44,Liberty Caucus,Mark Sanford,RepSanfordSC
45,Liberty Caucus,Cathy McMorris Rodgers,CathyMcMorris
46,Liberty Caucus,Rob Woodall,RepRobWoodall
47,Republican Study Committee,Doug Lamborn,RepDLamborn
48,Republican Study Committee,Diane Black,RepDianeBlack
49,Republican Study Committee,Gary Palmer,USRepGaryPalmer
50,Republican Study Committee,Mark Walker,RepMarkWalker
51,Republican Study Committee,Keith Rothfus,KeithRothfus
52,Republican Study Committee,Francis Rooney,RepRooney
53,Republican Study Committee,Rick Allen,reprickallen
54,Republican Study Committee,Paul Mitchell,RepPaulMitchell
55,Republican Study Committee,Alex Mooney,RepAlexMooney
56,Republican Study Committee,Kevin Yoder,RepKevinYoder
57,Republican Study Committee,Brad Wenstrup,RepBradWenstrup
58,Republican Study Committee,Claudia Tenney,RepTenney
59,Republican Study Committee,Andy Biggs,RepAndyBiggsAZ
60,Republican Study Committee,Andy Barr,RepAndyBarr
61,Republican Study Committee,Robert Pittenger,RepPittenger
62,Republican Study Committee,Tom Graves,RepTomGraves
63,Republican Study Committee,Dan Newhouse,RepNewhouse
64,Republican Study Committee,Steve Scalise,SteveScalise
65,Republican Study Committee,Darrell Issa,DarrellIssa
66,Republican Study Committee,Tom McClintock,RepMcClintock
67,Republican Study Committee,Don Bacon,RepDonBacon
68,Republican Study Committee,Roger Williams,RepRWilliams
69,Republican Study Committee,Mike Bost,RepBost
70,Republican Study Committee,Rob Woodall,RepRobWoodall
71,Republican Study Committee,Randy Hultgren,RepHultgren
72,Republican Study Committee,Paul Gosar,RepGosar
73,Republican Study Committee,Marsha Blackburn,MarshaBlackburn
74,Republican Study Committee,Bill Posey,CongBillPosey
75,Republican Study Committee,Chuck Fleischmann,RepChuck
76,Republican Study Committee,Randy Weber,TXRandy14
77,Republican Study Committee,Ted Yoho,RepTedYoho
78,Republican Study Committee,Chris Stewart,RepChrisStewart
79,Republican Study Committee,Doug LaMalfa,RepLaMalfa
80,Republican Study Committee,Virginia Foxx,VirginiaFoxx
81,Republican Study Committee,Jim Renacci,RepJimRenacci
82,Republican Study Committee,John Culberson,CongCulberson
83,Republican Study Committee,Peter Roskam,PeterRoskam
84,Republican Study Committee,Michael C. Burgess,MichaelCBurgess
85,Republican Study Committee,Patrick T. McHenry,PatrickMcHenry
86,Republican Study Committee,Jim Banks,RepJimBanks
87,Republican Study Committee,Ralph Norman,RepRalphNorman
88,Republican Study Committee,Andy Harris,RepAndyHarrisMD
89,Republican Study Committee,Sean Duffy,RepSeanDuffy
90,Republican Study Committee,Scott Taylor,RepScottTaylor
91,Republican Study Committee,Ron DeSantis,RepDeSantis
92,Republican Study Committee,John Moolenaar,RepMoolenaar
93,Republican Study Committee,Mike Kelly,MikeKellyPA
94,Republican Study Committee,Ted Poe,JudgeTedPoe
95,Republican Study Committee,Kevin Cramer,RepKevinCramer
96,Republican Study Committee,Kenny Marchant,RepKenMarchant
97,Republican Study Committee,Liz Cheney,RepLizCheney
98,Republican Study Committee,John Ratcliffe,RepRatcliffe
99,Republican Study Committee,Barry Loudermilk,RepLoudermilk
100,Republican Study Committee,Glenn Grothman,RepGrothman
101,Republican Study Committee,Blaine Luetkemeyer,RepBlainePress
102,Republican Study Committee,Jackie Walorski,RepWalorski
103,Republican Study Committee,Jody Hice,congressmanhice
104,Republican Study Committee,Bruce Poliquin,RepPoliquin
105,Republican Study Committee,Michael McCaul,RepMcCaul
106,Republican Study Committee,Rod Blum,RepRodBlum
107,Republican Study Committee,Warren Davidson,WarrenDavidson
108,Republican Study Committee,Jeff Fortenberry,JeffFortenberry
