,pol_one,pol_two,dyad,ademic,jaccard
0,RepDanDonovan,RepCurbelo,RepDanDonovan_RepCurbelo,1.0932332819031723,0.09090909090909091
1,RepDanDonovan,RepJackBergman,RepDanDonovan_RepJackBergman,1.0810840252347358,0.11904761904761904
2,RepDanDonovan,RepRalphNorman,RepDanDonovan_RepRalphNorman,0.23782951347935782,0.038461538461538464
3,RepDanDonovan,MarioDB,RepDanDonovan_MarioDB,0.18909786404425666,0.030303030303030304
4,RepDanDonovan,RepTipton,RepDanDonovan_RepTipton,1.2720853182708307,0.075
5,RepDanDonovan,CongMikeSimpson,RepDanDonovan_CongMikeSimpson,0.18909786404425666,0.07142857142857142
6,RepDanDonovan,RepRobBishop,RepDanDonovan_RepRobBishop,0.18909786404425666,0.08333333333333333
7,RepDanDonovan,RepBradWenstrup,RepDanDonovan_RepBradWenstrup,1.7491855273220118,0.08602150537634409
8,RepDanDonovan,RepJohnKatko,RepDanDonovan_RepJohnKatko,0.8488881814105823,0.2222222222222222
9,RepDanDonovan,RepMarthaRoby,RepDanDonovan_RepMarthaRoby,1.0445246289396244,0.03875968992248062
10,RepDanDonovan,RepRutherfordFL,RepDanDonovan_RepRutherfordFL,0.3929600420399907,0.14285714285714285
11,RepDanDonovan,CongCulberson,RepDanDonovan_CongCulberson,0.9437384004629459,0.06451612903225806
12,RepDanDonovan,Raul_Labrador,RepDanDonovan_Raul_Labrador,0.6033273559643021,0.036585365853658534
13,RepDanDonovan,RepRichHudson,RepDanDonovan_RepRichHudson,1.16291352134529,0.0684931506849315
14,RepDanDonovan,RepHultgren,RepDanDonovan_RepHultgren,1.0675666800558439,0.05319148936170213
15,RepDanDonovan,RepKinzinger,RepDanDonovan_RepKinzinger,1.5643123224408904,0.06363636363636363
16,RepDanDonovan,RepChrisSmith,RepDanDonovan_RepChrisSmith,0.18909786404425666,0.017241379310344827
17,RepDanDonovan,RepMikeBishop,RepDanDonovan_RepMikeBishop,1.0617180043465195,0.060240963855421686
18,RepDanDonovan,RepMeehan,RepDanDonovan_RepMeehan,0.6746066380158531,0.08571428571428572
19,RepDanDonovan,RepLukeMesser,RepDanDonovan_RepLukeMesser,1.0445246289396244,0.05952380952380952
20,RepDanDonovan,RepBost,RepDanDonovan_RepBost,1.3104403122736603,0.0759493670886076
21,RepDanDonovan,DarrellIssa,RepDanDonovan_DarrellIssa,1.4984951288830148,0.04516129032258064
22,RepDanDonovan,RepByrne,RepDanDonovan_RepByrne,1.7363246423623726,0.06153846153846154
23,RepDanDonovan,RepScottPerry,RepDanDonovan_RepScottPerry,1.2946329508872807,0.06451612903225806
24,RepDanDonovan,RepDavid,RepDanDonovan_RepDavid,0.39946517796856806,0.029411764705882353
25,RepDanDonovan,RepRobWoodall,RepDanDonovan_RepRobWoodall,0.8431249599555162,0.08
26,RepDanDonovan,RepTenney,RepDanDonovan_RepTenney,1.5138080717696247,0.25
27,RepDanDonovan,RepDavidRouzer,RepDanDonovan_RepDavidRouzer,0.4161975824319016,0.058823529411764705
28,RepDanDonovan,Jim_Jordan,RepDanDonovan_Jim_Jordan,0.6052954464761582,0.04838709677419355
29,RepDanDonovan,RepAmata,RepDanDonovan_RepAmata,0.6733931167994758,0.15789473684210525
30,RepDanDonovan,JudgeCarter,RepDanDonovan_JudgeCarter,0.9352651740225123,0.04081632653061224
31,RepDanDonovan,WarrenDavidson,RepDanDonovan_WarrenDavidson,0.4014332684804242,0.08695652173913043
32,RepDanDonovan,RepSeanDuffy,RepDanDonovan_RepSeanDuffy,1.545817767826047,0.0625
33,RepDanDonovan,RepJimRenacci,RepDanDonovan_RepJimRenacci,1.4984951288830148,0.0660377358490566
34,RepDanDonovan,PeteSessions,RepDanDonovan_PeteSessions,1.1456324879468238,0.047619047619047616
35,RepDanDonovan,MarkAmodeiNV2,RepDanDonovan_MarkAmodeiNV2,0.18909786404425666,0.017543859649122806
